State,Common_Type,Total,Population_2016,People_per_Gym,Gyms_per_Capita
AL,CrossFit,268,4863300,18146.64,5.51
AK,CrossFit,46,741894,16128.13,6.2
AZ,CrossFit,330,6931071,21003.25,4.76
AR,CrossFit,134,2988248,22300.36,4.48
CA,CrossFit,1775,39250017,22112.69,4.52
CO,CrossFit,394,5540545,14062.3,7.11
CT,CrossFit,272,3576452,13148.72,7.61
DE,CrossFit,60,952065,15867.75,6.3
DC,CrossFit,34,681170,20034.41,4.99
FL,CrossFit,1009,20612439,20428.58,4.9
GA,CrossFit,587,10310371,17564.52,5.69
HI,CrossFit,81,1428557,17636.51,5.67
ID,CrossFit,102,1683140,16501.37,6.06
IL,CrossFit,674,12801539,18993.38,5.26
IN,Anytime Fitness,403,6633053,16459.19,6.08
IA,Anytime Fitness,232,3134693,13511.61,7.4
KS,Anytime Fitness,164,2907289,17727.37,5.64
KY,CrossFit,219,4436974,20260.16,4.94
LA,Anytime Fitness,340,4681666,13769.61,7.26
ME,CrossFit,78,1331479,17070.24,5.86
MD,CrossFit,270,6016447,22283.14,4.49
MA,CrossFit,412,6811779,16533.44,6.05
MI,CrossFit,516,9928300,19240.89,5.2
MN,Snap Fitness,571,5519952,9667.17,10.34
MS,CrossFit,136,2988726,21975.93,4.55
MO,CrossFit,329,6093000,18519.76,5.4
MT,CrossFit,59,1042520,17669.83,5.66
NE,YMCA,135,1907116,14126.79,7.08
NV,CrossFit,142,2940058,20704.63,4.83
NH,CrossFit,97,1334795,13760.77,7.27
NJ,CrossFit,405,8944469,22085.11,4.53
NM,CrossFit,100,2081015,20810.15,4.81
NY,CrossFit,615,19745289,32106.16,3.11
NC,CrossFit,451,10146788,22498.42,4.44
ND,Anytime Fitness,52,757952,14576.0,6.86
OH,CrossFit,598,11614373,19422.03,5.15
OK,CrossFit,179,3923561,21919.34,4.56
OR,CrossFit,226,4093465,18112.68,5.52
PA,CrossFit,674,12784227,18967.7,5.27
RI,CrossFit and YMCA,76,1056426,13900.34,7.19
SC,CrossFit,267,4961119,18580.97,5.38
SD,Curves,60,865454,14424.23,6.93
TN,CrossFit,342,6651194,19447.94,5.14
TX,CrossFit,1409,27862596,19774.73,5.06
UT,CrossFit,165,3051217,18492.22,5.41
VT,CrossFit,33,624594,18927.09,5.28
VA,CrossFit,571,8411808,14731.71,6.79
WA,CrossFit,467,7288000,15606.0,6.41
WV,CrossFit,83,1831102,22061.47,4.53
WI,Anytime Fitness,431,5778708,13407.68,7.46
WY,CrossFit,36,585501,16263.92,6.15
